scope,record_index,system,component,material_family,tier,action_class,meaning,recommended_action,logical_present,mappable_present,primary_t1
all,138,Ens. Structure fixe,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
primary,140,Coussin têtière,velcro,textile_leather,T4,hard_gap_manual_review,T4 non déterminable avec les données actuelles.,T4: tier probable non determinable sans information metier supplementaire. / Garder hors simulation active. (low),False,False,ACH
all,140,Coussin têtière,velcro,textile_leather,T4,hard_gap_manual_review,T4 non déterminable avec les données actuelles.,T4: tier probable non determinable sans information metier supplementaire. / Garder hors simulation active. (low),False,False,ACH
primary,141,Ens.coussin dossier version têtière,velcro,textile_leather,T4,hard_gap_manual_review,T4 non déterminable avec les données actuelles.,T4: tier probable non determinable sans information metier supplementaire. / Garder hors simulation active. (low),False,False,ACH
all,141,Ens.coussin dossier version têtière,velcro,textile_leather,T4,hard_gap_manual_review,T4 non déterminable avec les données actuelles.,T4: tier probable non determinable sans information metier supplementaire. / Garder hors simulation active. (low),False,False,ACH
primary,142,Ens. Coussin dossier,velcro,textile_leather,T4,hard_gap_manual_review,T4 non déterminable avec les données actuelles.,T4: tier probable non determinable sans information metier supplementaire. / Garder hors simulation active. (low),False,False,ACH
all,142,Ens. Coussin dossier,velcro,textile_leather,T4,hard_gap_manual_review,T4 non déterminable avec les données actuelles.,T4: tier probable non determinable sans information metier supplementaire. / Garder hors simulation active. (low),False,False,ACH
primary,143,Manchette équipée,velcro,textile_leather,T4,hard_gap_manual_review,T4 non déterminable avec les données actuelles.,T4: tier probable non determinable sans information metier supplementaire. / Garder hors simulation active. (low),False,False,ACH
all,143,Manchette équipée,velcro,textile_leather,T4,hard_gap_manual_review,T4 non déterminable avec les données actuelles.,T4: tier probable non determinable sans information metier supplementaire. / Garder hors simulation active. (low),False,False,ACH
primary,144,Coussin ottoman,velours,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
all,144,Coussin ottoman,velours,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
primary,145,Coussin têtière,velours,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
all,145,Coussin têtière,velours,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
primary,146,Ens. Coussin assise,velours,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
all,146,Ens. Coussin assise,velours,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
primary,147,Ens.coussin dossier version têtière,velours,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
all,147,Ens.coussin dossier version têtière,velours,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
primary,148,Ens. Coussin dossier,velours,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
all,148,Ens. Coussin dossier,velours,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
primary,149,Ens. Structure porte,velcro,textile_leather,T4,hard_gap_manual_review,T4 non déterminable avec les données actuelles.,T4: tier probable non determinable sans information metier supplementaire. / Garder hors simulation active. (low),False,False,ACH
all,149,Ens. Structure porte,velcro,textile_leather,T4,hard_gap_manual_review,T4 non déterminable avec les données actuelles.,T4: tier probable non determinable sans information metier supplementaire. / Garder hors simulation active. (low),False,False,ACH
primary,150,Habillage sous fauteuil,velours,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
all,150,Habillage sous fauteuil,velours,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
primary,153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
all,153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
primary,154,bumper version porte,de: aluminium cast part machining glo: steel sheet stamping and bending,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
all,154,bumper version porte,de: aluminium cast part machining glo: steel sheet stamping and bending,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
primary,155,accoudoir allee,de: aluminium cast part machining glo: steel sheet stamping and bending,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
all,155,accoudoir allee,de: aluminium cast part machining glo: steel sheet stamping and bending,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
primary,161,Siége,65% aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (JAMCO Aircraft Interiors - Niigata). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,JAMCO Aircraft Interiors - Niigata
all,161,Siége,65% aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (JAMCO Aircraft Interiors - Niigata). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,JAMCO Aircraft Interiors - Niigata
primary,163,Siége,11% Moulage plastique,polymer_plastic,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: JAMCO / Collins / ACH / Safran internal integrator to validate. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
all,163,Siége,11% Moulage plastique,polymer_plastic,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: JAMCO / Collins / ACH / Safran internal integrator to validate. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
primary,165,Siége,"16 % Tissu, mousse",textile_leather,T1,hard_gap_manual_review,T1 non déterminable avec les données actuelles.,T1: tier probable non determinable sans information metier supplementaire. / Garder hors simulation active. (low),False,False,
all,165,Siége,"16 % Tissu, mousse",textile_leather,T1,hard_gap_manual_review,T1 non déterminable avec les données actuelles.,T1: tier probable non determinable sans information metier supplementaire. / Garder hors simulation active. (low),False,False,
primary,166,siege,titane fibre de carbone,composite_titanium,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: Hexcel / SGL Carbon / Toray for carbon fiber; titanium source to validate. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium_low)",False,False,
primary,166,siege,titane fibre de carbone,composite_titanium,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: JAMCO / Collins / ACH / Safran internal integrator to validate. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
all,166,siege,titane fibre de carbone,composite_titanium,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: Hexcel / SGL Carbon / Toray for carbon fiber; titanium source to validate. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium_low)",False,False,
all,166,siege,titane fibre de carbone,composite_titanium,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: JAMCO / Collins / ACH / Safran internal integrator to validate. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
