severity,category,record_index,supplier_index,system,component,supplier_name,role_hint,location,normalized_location,country,lat,lon,geocode_provider,geocode_query,description,detail
MEDIUM,ROLE_HINT_VAGUE,42,5,Support manchette équipée,A5086 - Aluminium,Aluminium Corporation of China,material,Chine,China,,35.8617,104.1954,cache:nominatim,"Aluminium Corporation of China, Chine",Matière première – aluminium/alumine,role_hint 'material' is too vague; proposed canonical role: tier4_raw_material_or_tier3_first_transformation
LOW,LOCATION_NONSTANDARD_LABEL,42,5,Support manchette équipée,A5086 - Aluminium,Aluminium Corporation of China,material,Chine,China,,35.8617,104.1954,cache:nominatim,"Aluminium Corporation of China, Chine",Matière première – aluminium/alumine,location should be normalized from 'Chine' to 'China'
MEDIUM,COUNTRY_CENTROID_USED,42,5,Support manchette équipée,A5086 - Aluminium,Aluminium Corporation of China,material,Chine,China,,35.8617,104.1954,cache:nominatim,"Aluminium Corporation of China, Chine",Matière première – aluminium/alumine,coordinates are country centroid (China); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,42,7,Support manchette équipée,A5086 - Aluminium,TATA Steel,tier4_raw_material,Inde,India,,22.7853607,86.1994836,cache:nominatim,"TATA Steel, Inde",Acier primaire,location should be normalized from 'Inde' to 'India'
LOW,LOCATION_NONSTANDARD_LABEL,42,18,Support manchette équipée,A5086 - Aluminium,SENIOR AEROSPACE,tier1,Thailande,Thailand,,13.0914,101.0108,manual,"789/115-116 Moo 1, Nongkham, Sriracha, Chonburi 20230, Thailand",Structures / tubes aéronautiques — Tier 1,location should be normalized from 'Thailande' to 'Thailand'
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,42,22,Support manchette équipée,A5086 - Aluminium,SAFRAN,oem,France,France,,49.2625,2.003,manual,"ZA de la Reine Blanche, 60149 Saint-Crépin-Ibouvillers, France",OEM (constructeur / intégrateur final),Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,42,25,Support manchette équipée,A5086 - Aluminium,Safran,oem,France,France,,46.2276,2.2137,,,,Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
MEDIUM,GEOCODE_PROVIDER_MISSING,42,25,Support manchette équipée,A5086 - Aluminium,Safran,oem,France,France,,46.2276,2.2137,,,,geocode_provider is missing although coordinates may be present
MEDIUM,COUNTRY_CENTROID_USED,42,25,Support manchette équipée,A5086 - Aluminium,Safran,oem,France,France,,46.2276,2.2137,,,,coordinates are country centroid (France); not supplier/site precise
MEDIUM,ROLE_HINT_VAGUE,43,3,Support NFC,A5086 - Aluminium,Austria metall,transformation,Autriche,Austria,,48.2266686,13.0356549,cache:nominatim,"Austria metall, Autriche",Première transformation – laminage/extrusion aluminium,role_hint 'transformation' is too vague; proposed canonical role: tier2_or_tier3_transformation
LOW,LOCATION_NONSTANDARD_LABEL,43,3,Support NFC,A5086 - Aluminium,Austria metall,transformation,Autriche,Austria,,48.2266686,13.0356549,cache:nominatim,"Austria metall, Autriche",Première transformation – laminage/extrusion aluminium,location should be normalized from 'Autriche' to 'Austria'
LOW,LOCATION_NONSTANDARD_LABEL,43,4,Support NFC,A5086 - Aluminium,Hindalco,tier4_raw_material,Inde,India,,15.9079826,74.5365877,cache:nominatim,"Hindalco, Inde",Aluminium primaire,location should be normalized from 'Inde' to 'India'
MEDIUM,ROLE_HINT_VAGUE,43,5,Support NFC,A5086 - Aluminium,Aluminium Corporation of China,material,Chine,China,,35.8617,104.1954,cache:nominatim,"Aluminium Corporation of China, Chine",Matière première – aluminium/alumine,role_hint 'material' is too vague; proposed canonical role: tier4_raw_material_or_tier3_first_transformation
LOW,LOCATION_NONSTANDARD_LABEL,43,5,Support NFC,A5086 - Aluminium,Aluminium Corporation of China,material,Chine,China,,35.8617,104.1954,cache:nominatim,"Aluminium Corporation of China, Chine",Matière première – aluminium/alumine,location should be normalized from 'Chine' to 'China'
MEDIUM,COUNTRY_CENTROID_USED,43,5,Support NFC,A5086 - Aluminium,Aluminium Corporation of China,material,Chine,China,,35.8617,104.1954,cache:nominatim,"Aluminium Corporation of China, Chine",Matière première – aluminium/alumine,coordinates are country centroid (China); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,43,7,Support NFC,A5086 - Aluminium,TATA Steel,tier4_raw_material,Inde,India,,22.7853607,86.1994836,cache:nominatim,"TATA Steel, Inde",Acier primaire,location should be normalized from 'Inde' to 'India'
LOW,LOCATION_NONSTANDARD_LABEL,43,18,Support NFC,A5086 - Aluminium,SENIOR AEROSPACE,tier1,Thailande,Thailand,,13.0914,101.0108,manual,"789/115-116 Moo 1, Nongkham, Sriracha, Chonburi 20230, Thailand",Structures / tubes aéronautiques — Tier 1,location should be normalized from 'Thailande' to 'Thailand'
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,43,22,Support NFC,A5086 - Aluminium,SAFRAN,oem,France,France,,49.2625,2.003,manual,"ZA de la Reine Blanche, 60149 Saint-Crépin-Ibouvillers, France",OEM (constructeur / intégrateur final),Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,43,25,Support NFC,A5086 - Aluminium,Safran,oem,France,France,,46.2276,2.2137,,,,Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
MEDIUM,GEOCODE_PROVIDER_MISSING,43,25,Support NFC,A5086 - Aluminium,Safran,oem,France,France,,46.2276,2.2137,,,,geocode_provider is missing although coordinates may be present
MEDIUM,COUNTRY_CENTROID_USED,43,25,Support NFC,A5086 - Aluminium,Safran,oem,France,France,,46.2276,2.2137,,,,coordinates are country centroid (France); not supplier/site precise
MEDIUM,ROLE_HINT_VAGUE,44,3,Renfort tubulaire,A6060 - Aluminium,Austria metall,transformation,Autriche,Austria,,48.2266686,13.0356549,cache:nominatim,"Austria metall, Autriche",Première transformation – laminage/extrusion aluminium,role_hint 'transformation' is too vague; proposed canonical role: tier2_or_tier3_transformation
LOW,LOCATION_NONSTANDARD_LABEL,44,3,Renfort tubulaire,A6060 - Aluminium,Austria metall,transformation,Autriche,Austria,,48.2266686,13.0356549,cache:nominatim,"Austria metall, Autriche",Première transformation – laminage/extrusion aluminium,location should be normalized from 'Autriche' to 'Austria'
LOW,LOCATION_NONSTANDARD_LABEL,44,4,Renfort tubulaire,A6060 - Aluminium,Hindalco,tier4_raw_material,Inde,India,,15.9079826,74.5365877,cache:nominatim,"Hindalco, Inde",Aluminium primaire,location should be normalized from 'Inde' to 'India'
MEDIUM,ROLE_HINT_VAGUE,44,5,Renfort tubulaire,A6060 - Aluminium,Aluminium Corporation of China,material,Chine,China,,35.8617,104.1954,cache:nominatim,"Aluminium Corporation of China, Chine",Matière première – aluminium/alumine,role_hint 'material' is too vague; proposed canonical role: tier4_raw_material_or_tier3_first_transformation
LOW,LOCATION_NONSTANDARD_LABEL,44,5,Renfort tubulaire,A6060 - Aluminium,Aluminium Corporation of China,material,Chine,China,,35.8617,104.1954,cache:nominatim,"Aluminium Corporation of China, Chine",Matière première – aluminium/alumine,location should be normalized from 'Chine' to 'China'
MEDIUM,COUNTRY_CENTROID_USED,44,5,Renfort tubulaire,A6060 - Aluminium,Aluminium Corporation of China,material,Chine,China,,35.8617,104.1954,cache:nominatim,"Aluminium Corporation of China, Chine",Matière première – aluminium/alumine,coordinates are country centroid (China); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,44,7,Renfort tubulaire,A6060 - Aluminium,TATA Steel,tier4_raw_material,Inde,India,,22.7853607,86.1994836,cache:nominatim,"TATA Steel, Inde",Acier primaire,location should be normalized from 'Inde' to 'India'
LOW,LOCATION_NONSTANDARD_LABEL,44,14,Renfort tubulaire,A6060 - Aluminium,SENIOR AEROSPACE,tier1,Thailande,Thailand,,13.0914,101.0108,manual,"789/115-116 Moo 1, Nongkham, Sriracha, Chonburi 20230, Thailand",Structures / tubes aéronautiques — Tier 1,location should be normalized from 'Thailande' to 'Thailand'
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,44,15,Renfort tubulaire,A6060 - Aluminium,Safran,oem,France,France,,46.2276,2.2137,,,,Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
MEDIUM,GEOCODE_PROVIDER_MISSING,44,15,Renfort tubulaire,A6060 - Aluminium,Safran,oem,France,France,,46.2276,2.2137,,,,geocode_provider is missing although coordinates may be present
MEDIUM,COUNTRY_CENTROID_USED,44,15,Renfort tubulaire,A6060 - Aluminium,Safran,oem,France,France,,46.2276,2.2137,,,,coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,45,1,Ceinture de sécurité,acier,Saarstahl,tier4_raw_material,Allemagne,Germany,,49.3593951,7.1714727,cache:nominatim,"Saarstahl, Allemagne",Acier brut,location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,ROLE_HINT_VAGUE,45,2,Ceinture de sécurité,acier,Arcelor Mittal,material,Luxembourg,Luxembourg,,49.579589,6.1108861,cache:nominatim,"Arcelor Mittal, Luxembourg",Matière première – acier primaire,role_hint 'material' is too vague; proposed canonical role: tier4_raw_material_or_tier3_first_transformation
LOW,LOCATION_NONSTANDARD_LABEL,45,3,Ceinture de sécurité,acier,Krupp,tier3_first_transformation,Allemagne,Germany,,51.3350109,7.5747349,cache:nominatim,"Krupp, Allemagne",Sidérurgie — 1ère transformation,location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,ROLE_HINT_VAGUE,45,4,Ceinture de sécurité,acier,China Baowu,material,Chine,China,,35.8617,104.1954,cache:nominatim,"China Baowu, Chine",Matière première – acier primaire,role_hint 'material' is too vague; proposed canonical role: tier4_raw_material_or_tier3_first_transformation
LOW,LOCATION_NONSTANDARD_LABEL,45,4,Ceinture de sécurité,acier,China Baowu,material,Chine,China,,35.8617,104.1954,cache:nominatim,"China Baowu, Chine",Matière première – acier primaire,location should be normalized from 'Chine' to 'China'
MEDIUM,COUNTRY_CENTROID_USED,45,4,Ceinture de sécurité,acier,China Baowu,material,Chine,China,,35.8617,104.1954,cache:nominatim,"China Baowu, Chine",Matière première – acier primaire,coordinates are country centroid (China); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,45,6,Ceinture de sécurité,acier,TATA Steel,tier4_raw_material,Inde,India,,22.8025,86.1854,manual,"Tata Steel Plant, P.O. Bistupur, Jamshedpur 831001, Jharkhand, India",Acier primaire,location should be normalized from 'Inde' to 'India'
LOW,LOCATION_NONSTANDARD_LABEL,45,8,Ceinture de sécurité,acier,TATA Steel,tier4_raw_material,Inde,India,,22.7853607,86.1994836,nominatim,"Tata Steel, Jamshedpur, Golmuri-Cum-Jugsalai, East Singhbhum, Jharkhand, 831001, India",Acier primaire,location should be normalized from 'Inde' to 'India'
MEDIUM,COUNTRY_CENTROID_USED,45,17,Ceinture de sécurité,acier,Schroth,tier2_second_transformation,USA,USA,,51.1657,10.4515,cache:nominatim,"Schroth, USA",Harnais de sécurité — sous-ensembles,coordinates are country centroid (Germany); not supplier/site precise
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,45,17,Ceinture de sécurité,acier,Schroth,tier2_second_transformation,USA,USA,,51.1657,10.4515,cache:nominatim,"Schroth, USA",Harnais de sécurité — sous-ensembles,"lat/lon (51.1657,10.4515) are outside normalized location country USA"
LOW,LOCATION_NONSTANDARD_LABEL,45,18,Ceinture de sécurité,acier,J&C Aero,tier1,Lituanie,Lithuania,,-20.5228026,-54.6480379,nominatim,"J&C Aero, Lituanie",Rétrofit / aménagement cabine (Tier 1),location should be normalized from 'Lituanie' to 'Lithuania'
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,45,18,Ceinture de sécurité,acier,J&C Aero,tier1,Lituanie,Lithuania,,-20.5228026,-54.6480379,nominatim,"J&C Aero, Lituanie",Rétrofit / aménagement cabine (Tier 1),"lat/lon (-20.5228026,-54.6480379) are outside normalized location country Lithuania"
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,45,19,Ceinture de sécurité,acier,Anjou Aéro,tier1,France,France,,39.7837304,-100.4458825,cache:nominatim,"Anjou Aéro, France",Fixations aéronautiques / sous-ensembles mécaniques,"lat/lon (39.7837304,-100.4458825) are outside normalized location country France"
MEDIUM,GEOCODE_PROVIDER_MISSING,45,21,Ceinture de sécurité,acier,Ancra Aircraft,tier1,États-Unis,USA,,34.11167,-117.92529,,"Ancra Aircraft, Californie - USA",Systèmes cargo / aviation (Tier 1),geocode_provider is missing although coordinates may be present
LOW,LOCATION_NONSTANDARD_LABEL,45,21,Ceinture de sécurité,acier,Ancra Aircraft,tier1,États-Unis,USA,,34.11167,-117.92529,,"Ancra Aircraft, Californie - USA",Systèmes cargo / aviation (Tier 1),location should be normalized from 'États-Unis' to 'USA'
LOW,LOCATION_NONSTANDARD_LABEL,45,22,Ceinture de sécurité,acier,TA Aerospace,tier1,Californie - USA,USA,,34.0981156,-117.5480526,nominatim,"TA Aerospace, Californie - USA",Tubes / joints aéronautiques — Tier 1,location should be normalized from 'Californie - USA' to 'USA'
LOW,LOCATION_NONSTANDARD_LABEL,45,25,Ceinture de sécurité,acier,SENIOR AEROSPACE,tier1,Thailande,Thailand,,13.0914,101.0108,manual,"789/115-116 Moo 1, Nongkham, Sriracha, Chonburi 20230, Thailand",Structures / tubes aéronautiques — Tier 1,location should be normalized from 'Thailande' to 'Thailand'
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,45,34,Ceinture de sécurité,acier,SAFRAN,oem,France,France,,49.2625,2.003,manual,"ZA de la Reine Blanche, 60149 Saint-Crépin-Ibouvillers, France",OEM (constructeur / intégrateur final),Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,45,35,Ceinture de sécurité,acier,Safran,oem,France,France,,46.2276,2.2137,,,,Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
MEDIUM,GEOCODE_PROVIDER_MISSING,45,35,Ceinture de sécurité,acier,Safran,oem,France,France,,46.2276,2.2137,,,,geocode_provider is missing although coordinates may be present
MEDIUM,COUNTRY_CENTROID_USED,45,35,Ceinture de sécurité,acier,Safran,oem,France,France,,46.2276,2.2137,,,,coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,46,1,Support clamps,acier,Saarstahl,tier4_raw_material,Allemagne,Germany,,49.3593951,7.1714727,cache:nominatim,"Saarstahl, Allemagne",Acier brut,location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,ROLE_HINT_VAGUE,46,2,Support clamps,acier,Arcelor Mittal,material,Luxembourg,Luxembourg,,49.579589,6.1108861,cache:nominatim,"Arcelor Mittal, Luxembourg",Matière première – acier primaire,role_hint 'material' is too vague; proposed canonical role: tier4_raw_material_or_tier3_first_transformation
LOW,LOCATION_NONSTANDARD_LABEL,46,3,Support clamps,acier,Krupp,tier3_first_transformation,Allemagne,Germany,,51.3350109,7.5747349,cache:nominatim,"Krupp, Allemagne",Sidérurgie — 1ère transformation,location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,ROLE_HINT_VAGUE,46,4,Support clamps,acier,China Baowu,material,Chine,China,,35.8617,104.1954,cache:nominatim,"China Baowu, Chine",Matière première – acier primaire,role_hint 'material' is too vague; proposed canonical role: tier4_raw_material_or_tier3_first_transformation
LOW,LOCATION_NONSTANDARD_LABEL,46,4,Support clamps,acier,China Baowu,material,Chine,China,,35.8617,104.1954,cache:nominatim,"China Baowu, Chine",Matière première – acier primaire,location should be normalized from 'Chine' to 'China'
MEDIUM,COUNTRY_CENTROID_USED,46,4,Support clamps,acier,China Baowu,material,Chine,China,,35.8617,104.1954,cache:nominatim,"China Baowu, Chine",Matière première – acier primaire,coordinates are country centroid (China); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,46,6,Support clamps,acier,TATA Steel,tier4_raw_material,Inde,India,,22.8025,86.1854,manual,"Tata Steel Plant, P.O. Bistupur, Jamshedpur 831001, Jharkhand, India",Acier primaire,location should be normalized from 'Inde' to 'India'
LOW,LOCATION_NONSTANDARD_LABEL,46,8,Support clamps,acier,TATA Steel,tier4_raw_material,Inde,India,,22.7853607,86.1994836,nominatim,"Tata Steel, Jamshedpur, Golmuri-Cum-Jugsalai, East Singhbhum, Jharkhand, 831001, India",Acier primaire,location should be normalized from 'Inde' to 'India'
MEDIUM,COUNTRY_CENTROID_USED,46,17,Support clamps,acier,Schroth,tier2_second_transformation,USA,USA,,51.1657,10.4515,cache:nominatim,"Schroth, USA",Harnais de sécurité — sous-ensembles,coordinates are country centroid (Germany); not supplier/site precise
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,46,17,Support clamps,acier,Schroth,tier2_second_transformation,USA,USA,,51.1657,10.4515,cache:nominatim,"Schroth, USA",Harnais de sécurité — sous-ensembles,"lat/lon (51.1657,10.4515) are outside normalized location country USA"
LOW,LOCATION_NONSTANDARD_LABEL,46,18,Support clamps,acier,J&C Aero,tier1,Lituanie,Lithuania,,-20.5228026,-54.6480379,nominatim,"J&C Aero, Lituanie",Rétrofit / aménagement cabine (Tier 1),location should be normalized from 'Lituanie' to 'Lithuania'
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,46,18,Support clamps,acier,J&C Aero,tier1,Lituanie,Lithuania,,-20.5228026,-54.6480379,nominatim,"J&C Aero, Lituanie",Rétrofit / aménagement cabine (Tier 1),"lat/lon (-20.5228026,-54.6480379) are outside normalized location country Lithuania"
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,46,19,Support clamps,acier,Anjou Aéro,tier1,France,France,,39.7837304,-100.4458825,cache:nominatim,"Anjou Aéro, France",Fixations aéronautiques / sous-ensembles mécaniques,"lat/lon (39.7837304,-100.4458825) are outside normalized location country France"
MEDIUM,GEOCODE_PROVIDER_MISSING,46,21,Support clamps,acier,Ancra Aircraft,tier1,États-Unis,USA,,34.11167,-117.92529,,"Ancra Aircraft, Californie - USA",Systèmes cargo / aviation (Tier 1),geocode_provider is missing although coordinates may be present
LOW,LOCATION_NONSTANDARD_LABEL,46,21,Support clamps,acier,Ancra Aircraft,tier1,États-Unis,USA,,34.11167,-117.92529,,"Ancra Aircraft, Californie - USA",Systèmes cargo / aviation (Tier 1),location should be normalized from 'États-Unis' to 'USA'
LOW,LOCATION_NONSTANDARD_LABEL,46,22,Support clamps,acier,TA Aerospace,tier1,Californie - USA,USA,,34.0981156,-117.5480526,nominatim,"TA Aerospace, Californie - USA",Tubes / joints aéronautiques — Tier 1,location should be normalized from 'Californie - USA' to 'USA'
LOW,LOCATION_NONSTANDARD_LABEL,46,25,Support clamps,acier,SENIOR AEROSPACE,tier1,Thailande,Thailand,,13.0914,101.0108,manual,"789/115-116 Moo 1, Nongkham, Sriracha, Chonburi 20230, Thailand",Structures / tubes aéronautiques — Tier 1,location should be normalized from 'Thailande' to 'Thailand'
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,46,34,Support clamps,acier,SAFRAN,oem,France,France,,49.2625,2.003,manual,"ZA de la Reine Blanche, 60149 Saint-Crépin-Ibouvillers, France",OEM (constructeur / intégrateur final),Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,46,35,Support clamps,acier,Safran,oem,France,France,,46.2276,2.2137,,,,Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
MEDIUM,GEOCODE_PROVIDER_MISSING,46,35,Support clamps,acier,Safran,oem,France,France,,46.2276,2.2137,,,,geocode_provider is missing although coordinates may be present
MEDIUM,COUNTRY_CENTROID_USED,46,35,Support clamps,acier,Safran,oem,France,France,,46.2276,2.2137,,,,coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,47,1,Accoudoir allée,acier,Saarstahl,tier4_raw_material,Allemagne,Germany,,49.3593951,7.1714727,cache:nominatim,"Saarstahl, Allemagne",Acier brut,location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,ROLE_HINT_VAGUE,47,2,Accoudoir allée,acier,Arcelor Mittal,material,Luxembourg,Luxembourg,,49.579589,6.1108861,cache:nominatim,"Arcelor Mittal, Luxembourg",Matière première – acier primaire,role_hint 'material' is too vague; proposed canonical role: tier4_raw_material_or_tier3_first_transformation
LOW,LOCATION_NONSTANDARD_LABEL,47,3,Accoudoir allée,acier,Krupp,tier3_first_transformation,Allemagne,Germany,,51.3350109,7.5747349,cache:nominatim,"Krupp, Allemagne",Sidérurgie — 1ère transformation,location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,ROLE_HINT_VAGUE,47,4,Accoudoir allée,acier,China Baowu,material,Chine,China,,35.8617,104.1954,cache:nominatim,"China Baowu, Chine",Matière première – acier primaire,role_hint 'material' is too vague; proposed canonical role: tier4_raw_material_or_tier3_first_transformation
LOW,LOCATION_NONSTANDARD_LABEL,47,4,Accoudoir allée,acier,China Baowu,material,Chine,China,,35.8617,104.1954,cache:nominatim,"China Baowu, Chine",Matière première – acier primaire,location should be normalized from 'Chine' to 'China'
MEDIUM,COUNTRY_CENTROID_USED,47,4,Accoudoir allée,acier,China Baowu,material,Chine,China,,35.8617,104.1954,cache:nominatim,"China Baowu, Chine",Matière première – acier primaire,coordinates are country centroid (China); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,47,6,Accoudoir allée,acier,TATA Steel,tier4_raw_material,Inde,India,,22.8025,86.1854,manual,"Tata Steel Plant, P.O. Bistupur, Jamshedpur 831001, Jharkhand, India",Acier primaire,location should be normalized from 'Inde' to 'India'
LOW,LOCATION_NONSTANDARD_LABEL,47,8,Accoudoir allée,acier,TATA Steel,tier4_raw_material,Inde,India,,22.7853607,86.1994836,nominatim,"Tata Steel, Jamshedpur, Golmuri-Cum-Jugsalai, East Singhbhum, Jharkhand, 831001, India",Acier primaire,location should be normalized from 'Inde' to 'India'
MEDIUM,COUNTRY_CENTROID_USED,47,17,Accoudoir allée,acier,Schroth,tier2_second_transformation,USA,USA,,51.1657,10.4515,cache:nominatim,"Schroth, USA",Harnais de sécurité — sous-ensembles,coordinates are country centroid (Germany); not supplier/site precise
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,47,17,Accoudoir allée,acier,Schroth,tier2_second_transformation,USA,USA,,51.1657,10.4515,cache:nominatim,"Schroth, USA",Harnais de sécurité — sous-ensembles,"lat/lon (51.1657,10.4515) are outside normalized location country USA"
LOW,LOCATION_NONSTANDARD_LABEL,47,18,Accoudoir allée,acier,J&C Aero,tier1,Lituanie,Lithuania,,-20.5228026,-54.6480379,nominatim,"J&C Aero, Lituanie",Rétrofit / aménagement cabine (Tier 1),location should be normalized from 'Lituanie' to 'Lithuania'
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,47,18,Accoudoir allée,acier,J&C Aero,tier1,Lituanie,Lithuania,,-20.5228026,-54.6480379,nominatim,"J&C Aero, Lituanie",Rétrofit / aménagement cabine (Tier 1),"lat/lon (-20.5228026,-54.6480379) are outside normalized location country Lithuania"
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,47,19,Accoudoir allée,acier,Anjou Aéro,tier1,France,France,,39.7837304,-100.4458825,cache:nominatim,"Anjou Aéro, France",Fixations aéronautiques / sous-ensembles mécaniques,"lat/lon (39.7837304,-100.4458825) are outside normalized location country France"
MEDIUM,GEOCODE_PROVIDER_MISSING,47,21,Accoudoir allée,acier,Ancra Aircraft,tier1,États-Unis,USA,,34.11167,-117.92529,,"Ancra Aircraft, Californie - USA",Systèmes cargo / aviation (Tier 1),geocode_provider is missing although coordinates may be present
LOW,LOCATION_NONSTANDARD_LABEL,47,21,Accoudoir allée,acier,Ancra Aircraft,tier1,États-Unis,USA,,34.11167,-117.92529,,"Ancra Aircraft, Californie - USA",Systèmes cargo / aviation (Tier 1),location should be normalized from 'États-Unis' to 'USA'
LOW,LOCATION_NONSTANDARD_LABEL,47,22,Accoudoir allée,acier,TA Aerospace,tier1,Californie - USA,USA,,34.0981156,-117.5480526,nominatim,"TA Aerospace, Californie - USA",Tubes / joints aéronautiques — Tier 1,location should be normalized from 'Californie - USA' to 'USA'
LOW,LOCATION_NONSTANDARD_LABEL,47,25,Accoudoir allée,acier,SENIOR AEROSPACE,tier1,Thailande,Thailand,,13.0914,101.0108,manual,"789/115-116 Moo 1, Nongkham, Sriracha, Chonburi 20230, Thailand",Structures / tubes aéronautiques — Tier 1,location should be normalized from 'Thailande' to 'Thailand'
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,47,34,Accoudoir allée,acier,SAFRAN,oem,France,France,,49.2625,2.003,manual,"ZA de la Reine Blanche, 60149 Saint-Crépin-Ibouvillers, France",OEM (constructeur / intégrateur final),Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,47,35,Accoudoir allée,acier,Safran,oem,France,France,,46.2276,2.2137,,,,Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
MEDIUM,GEOCODE_PROVIDER_MISSING,47,35,Accoudoir allée,acier,Safran,oem,France,France,,46.2276,2.2137,,,,geocode_provider is missing although coordinates may be present
MEDIUM,COUNTRY_CENTROID_USED,47,35,Accoudoir allée,acier,Safran,oem,France,France,,46.2276,2.2137,,,,coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,48,1,Bumper version porte,acier,Saarstahl,tier4_raw_material,Allemagne,Germany,,49.3593951,7.1714727,cache:nominatim,"Saarstahl, Allemagne",Acier brut,location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,ROLE_HINT_VAGUE,48,2,Bumper version porte,acier,Arcelor Mittal,material,Luxembourg,Luxembourg,,49.579589,6.1108861,cache:nominatim,"Arcelor Mittal, Luxembourg",Matière première – acier primaire,role_hint 'material' is too vague; proposed canonical role: tier4_raw_material_or_tier3_first_transformation
LOW,LOCATION_NONSTANDARD_LABEL,48,3,Bumper version porte,acier,Krupp,tier3_first_transformation,Allemagne,Germany,,51.3350109,7.5747349,cache:nominatim,"Krupp, Allemagne",Sidérurgie — 1ère transformation,location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,ROLE_HINT_VAGUE,48,4,Bumper version porte,acier,China Baowu,material,Chine,China,,35.8617,104.1954,cache:nominatim,"China Baowu, Chine",Matière première – acier primaire,role_hint 'material' is too vague; proposed canonical role: tier4_raw_material_or_tier3_first_transformation
LOW,LOCATION_NONSTANDARD_LABEL,48,4,Bumper version porte,acier,China Baowu,material,Chine,China,,35.8617,104.1954,cache:nominatim,"China Baowu, Chine",Matière première – acier primaire,location should be normalized from 'Chine' to 'China'
MEDIUM,COUNTRY_CENTROID_USED,48,4,Bumper version porte,acier,China Baowu,material,Chine,China,,35.8617,104.1954,cache:nominatim,"China Baowu, Chine",Matière première – acier primaire,coordinates are country centroid (China); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,48,6,Bumper version porte,acier,TATA Steel,tier4_raw_material,Inde,India,,22.8025,86.1854,manual,"Tata Steel Plant, P.O. Bistupur, Jamshedpur 831001, Jharkhand, India",Acier primaire,location should be normalized from 'Inde' to 'India'
LOW,LOCATION_NONSTANDARD_LABEL,48,8,Bumper version porte,acier,TATA Steel,tier4_raw_material,Inde,India,,22.7853607,86.1994836,nominatim,"Tata Steel, Jamshedpur, Golmuri-Cum-Jugsalai, East Singhbhum, Jharkhand, 831001, India",Acier primaire,location should be normalized from 'Inde' to 'India'
MEDIUM,COUNTRY_CENTROID_USED,48,17,Bumper version porte,acier,Schroth,tier2_second_transformation,USA,USA,,51.1657,10.4515,cache:nominatim,"Schroth, USA",Harnais de sécurité — sous-ensembles,coordinates are country centroid (Germany); not supplier/site precise
