record_index,system,component,mass_kg,mass_share_of_non_packaging_bom,has_lca_mass,mass_method,match_level,confidence,simulation_use_class,equipment_match,material_match,raw_materials_status,markers
147,Ens.coussin dossier version têtière,velours,0.008,6.8986e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS COUSSIN DOSSIER VERSION TETIERE,velours,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
148,Ens. Coussin dossier,velours,0.022,0.00018971,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS COUSSIN DOSSIER,velours,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
149,Ens. Structure porte,velcro,0.085,0.000732971,True,bom_global_material_total,global_material,medium_low,scenario_only_review_required,manual_alias,velcro,missing_source,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material;LCA_CONFIDENCE_medium_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_missing_source
150,Habillage sous fauteuil,velours,0.007,6.0362e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,HABILLAGE SOUS FAUTEUIL,velour,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
151,Ens. Structure porte,Z10CNT18,0.0478353,0.000412493,True,bom_system_material_family_sum,equipment_material_family,medium_high,usable_for_baseline,ENSEMBLE PORTE,steel (2 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
152,Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,0.039,0.000336304,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,MANCHETTE EQUIPEE,frmc55,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",0.45,0.003880435,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,SUPPORT ECRAN,screen display cots,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
154,bumper version porte,de: aluminium cast part machining glo: steel sheet stamping and bending,0.024,0.000206957,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,BUMPER VERSION PORTE,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
155,accoudoir allee,de: aluminium cast part machining glo: steel sheet stamping and bending,0.7096766,0.006119675,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ACCOUDOIR ALLEE,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
156,Accoudoir allée,GLO: Steel sheet stamping and bending,0.7096766,0.006119675,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ACCOUDOIR ALLEE,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
157,Siége,aluminium,71.7790748,0.618964516,True,bom_global_material_family_sum,global_material_family,low,scenario_only_review_required,seat_total,aluminium (7 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material_family;LCA_CONFIDENCE_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
158,Siége,"Tissu, mousse, polyéthylène",6.478,0.055861017,True,bom_global_material_family_sum,global_material_family,low,scenario_only_review_required,seat_total,textile_foam_polyethylene (5 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material_family;LCA_CONFIDENCE_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
159,Siége,Moulage plastique,6.69155662,0.057702556,True,bom_global_material_family_sum,global_material_family,low,scenario_only_review_required,seat_total,plastic (10 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material_family;LCA_CONFIDENCE_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
160,Siége,"autre (silicium, cuirs synthétique)",0.099,0.000853696,True,bom_global_material_total,global_material,medium_low,scenario_only_review_required,seat_total,ultra leather 330,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material;LCA_CONFIDENCE_medium_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
161,Siége,65% aluminium,75.378147576,0.65,True,percentage_of_bom_material_total,seat_total_percentage,medium,usable_with_review,SEAT_TOTAL,65% of total non-packaging BOM mass,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_seat_total_percentage;LCA_CONFIDENCE_medium;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
162,Siége,"16 % Tissu, mousse, polyéthylène",18.554620942,0.16,True,percentage_of_bom_material_total,seat_total_percentage,medium,usable_with_review,SEAT_TOTAL,16% of total non-packaging BOM mass,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_seat_total_percentage;LCA_CONFIDENCE_medium;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
163,Siége,11% Moulage plastique,12.756301898,0.11,True,percentage_of_bom_material_total,seat_total_percentage,medium,usable_with_review,SEAT_TOTAL,11% of total non-packaging BOM mass,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_seat_total_percentage;LCA_CONFIDENCE_medium;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
164,Siége,"8% autre (silicium, cuirs synthétique)",9.277310471,0.08,True,percentage_of_bom_material_total,seat_total_percentage,medium,usable_with_review,SEAT_TOTAL,8% of total non-packaging BOM mass,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_seat_total_percentage;LCA_CONFIDENCE_medium;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
165,Siége,"16 % Tissu, mousse",18.554620942,0.16,True,percentage_of_bom_material_total,seat_total_percentage,medium,usable_with_review,SEAT_TOTAL,16% of total non-packaging BOM mass,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_seat_total_percentage;LCA_CONFIDENCE_medium;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
166,siege,titane fibre de carbone,8.927,0.076979207,True,bom_global_material_family_sum,global_material_family,low,scenario_only_review_required,seat_total,composite (2 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material_family;LCA_CONFIDENCE_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
167,Accoudoir allée,A2024 - Aluminium,0.18,0.001552174,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ACCOUDOIR ALLEE,a2024,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
168,Siége,"Tissu, mousse, polyéthylène",6.478,0.055861017,True,bom_global_material_family_sum,global_material_family,low,scenario_only_review_required,seat_total,textile_foam_polyethylene (5 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material_family;LCA_CONFIDENCE_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
169,Siége,"Tissu, mousse, polyéthylène",6.478,0.055861017,True,bom_global_material_family_sum,global_material_family,low,scenario_only_review_required,seat_total,textile_foam_polyethylene (5 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material_family;LCA_CONFIDENCE_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
170,Siége,"autre (silicium, cuirs synthétique)",0.099,0.000853696,True,bom_global_material_total,global_material,medium_low,scenario_only_review_required,seat_total,ultra leather 330,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material;LCA_CONFIDENCE_medium_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
171,Siége,"autre (silicium, cuirs synthétique)",0.099,0.000853696,True,bom_global_material_total,global_material,medium_low,scenario_only_review_required,seat_total,ultra leather 330,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material;LCA_CONFIDENCE_medium_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
172,Siége,Moulage plastique,6.69155662,0.057702556,True,bom_global_material_family_sum,global_material_family,low,scenario_only_review_required,seat_total,plastic (10 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material_family;LCA_CONFIDENCE_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
173,Siége,Moulage plastique,6.69155662,0.057702556,True,bom_global_material_family_sum,global_material_family,low,scenario_only_review_required,seat_total,plastic (10 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material_family;LCA_CONFIDENCE_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
174,Siége,aluminium,71.7790748,0.618964516,True,bom_global_material_family_sum,global_material_family,low,scenario_only_review_required,seat_total,aluminium (7 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material_family;LCA_CONFIDENCE_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
175,Siége,aluminium,71.7790748,0.618964516,True,bom_global_material_family_sum,global_material_family,low,scenario_only_review_required,seat_total,aluminium (7 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material_family;LCA_CONFIDENCE_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
